软件名称,软件版本,依赖软件数,开发商,官网地址
bitflags,1.3.2,0,bitflags,https://github.com/bitflags/bitflags
blackbox_exporter,0.19.0,0,prometheus,https://github.com/prometheus/blackbox_exporter
bleve,v2.3.1,64,blevesearch,http://blevesearch.com/
bluebird,3.7.2,0,petkaantonov,http://bluebirdjs.com/docs/getting-started.html
blueimp/JavaScript-MD5,2.18.0,0,blueimp,https://github.com/blueimp/JavaScript-MD5
blueprintjs-core,3.41.0,38,Palantir Technologies,https://blueprintjs.com/
blueprintjs-select,3.15.7,9,palantir,https://github.com/palantir/blueprint
Bochs,2.7,0,bochs,https://bochs.sourceforge.io
body-parser,1.20.0,29,expressjs,https://github.com/expressjs/body-parser
bolt_noah,v1.3.0,0,huawei-noah,https://github.com/huawei-noah/bolt
Boost,1.76.0,0,boost.org,http://www.boost.org/
Bootstrap,4.6.0,0,twbs,https://getbootstrap.com/
Bootstrap select,1.13.18,0,snapappointments,https://developer.snapappointments.com/bootstrap-select/
Bootstrap Table,1.20.2,0,Apache,https://github.com/wenzhixin/bootstrap-table
Bootstrap Table,1.19.1,0,Apache,https://github.com/wenzhixin/bootstrap-table
boringssl,fips-20210429,0,google,https://github.com/google/boringssl
boto3,1.17.112,5,aws,https://github.com/boto/boto3
bottle,0.12.19,0,bottlepy,http://github.com/defnull/bottle/
bounds_checking_function,v1.1.10,0,openeuler,https://gitee.com/openeuler/libboundscheck
bower-angular-sanitize,1.8.2,0,angular,https://github.com/angular/bower-angular-sanitize
bowser,2.10.0,0,lancedikson,https://github.com/ded/bowser
bpmn-js,v9.0.3,20,bpmn-io,https://bpmn.io/toolkit/bpmn-js/
brave,5.13.7,13,openzipkin,https://github.com/openzipkin/brave
breakpad,415b54ab8cebeb317ab7e0dbb14cd55229eb5a59,0,google,https://chromium.googlesource.com/breakpad/breakpad/
bridge-utils,1.7.1,0,Gandi,http://download-ib01.fedoraproject.org/pub/fedora/linux/releases/
brotli,v1.0.9,0,google,https://github.com/google/brotli.git
bson4jackson,2.13.1,3,michel-kraemer,https://github.com/michel-kraemer/bson4jackson
Bullet Physics SDK,2.89,0,Bullet,http://bulletphysics.org
Bullwinkle,1.4.6,0,Sylvain Halle,https://github.com/sylvainhalle/Bullwinkle
BusyBox,1.34.1,2,busybox,http://busybox.net/
Byte Buddy,1.12.8,17,Rafael Winterhalter,http://bytebuddy.net/
bytes,1.1.0,0,golangplus,https://github.com/tokio-rs/bytes
Bzip2,1.0.8,0,Julian Seward,https://www.sourceware.org/bzip2/
C++ Actor Framework,0.18.6,0,CAF,http://actor-framework.org/
c3p0:JDBC DataSources/Resource Pools,0.9.5.5,1,swaldman,http://sourceforge.net/projects/c3p0/
cAdvisor,v0.39.3,402,google,https://github.com/google/cadvisor
caffeine,2.8.8,2,ben-manes,https://github.com/ben-manes/caffeine
Cairo Vector Graphics Library,1.17.4,0,Chris Wilson;Andrea Canciani;Carl Worth,http://cairographics.org/
Californium,3.3.1,1,eclipse,https://www.eclipse.org/californium/
camptocamp-prometheus-alertmanager-datasource,v1.2.1,0,Camptocamp,https://www.camptocamp.com/en
camunda-bpm-platform,7.16.0,96,camunda,http://www.camunda.org
Canal,1.1.5,45,alibaba,https://github.com/alibaba/canal
canvg,3.0.8,9,canvg,https://github.com/canvg/canvg
capstone,4.0.2,0,capstone.engine,http://www.capstone-engine.org/
catkin_pkg,0.4.24,3,ros-infrastructure,https://github.com/ros-infrastructure
cbmc,5.55.0,0,CProver,http://www.cprover.org/cbmc
CDemu- a virtual CD/DVD drive for Linux - cdemu-daemon,3.2.4,0,cdemu,http://www.cdemu.org
CDemu- a virtual CD/DVD drive for Linux - libmirage,3.2.4,0,Rok Mandeljc,http://www.cdemu.org
CDemu- a virtual CD/DVD drive for Linux - vhba-module,20200106,0,Rok Mandeljc,http://www.cdemu.org
cef,4472-9dd45fe15964fb136e60d16ad40d78023f486360,0,Marshall Greenblatt,https://bitbucket.org/chromiumembedded/cef/src/master/
ceilometer,9.0.7,171,openstack,https://opendev.org/openstack/ceilometer
celery,5.2.2,6,celery,https://github.com/celery/celery/
cenkalti/backoff,v4.1.2,0,Cenk Alt_,https://github.com/cenkalti/backoff/
Central Authentication Service - CAS Server,6.5.2,176,apereo,https://www.apereo.org/projects/cas
Central Authentication Service - CAS Server,5.3.15.1,173,apereo,https://www.apereo.org/projects/cas
cereal,1.3.2,0,University of Southern California,http://uscilab.github.io/cereal/
ceres solver,2.1.0,2,ceres-solver,http://ceres-solver.org/index.html
cert-manager,v1.4.0,46,cert-manager,https://cert-manager.io/
certifi,2021.10.8,0,Jupyter,https://github.com/certifi/python-certifi
CesiumJS,1.91,4,Cesium GS,https://cesium.com/platform/cesiumjs/
chardet,4.0.0,0,chardet,https://github.com/chardet/chardet
chart.js,3.7.1,0,Chart.js,https://www.chartjs.org/
Charts,v4.0.2,0,danielgindi,https://github.com/danielgindi/Charts
Checker Framework,3.8.0,4,typetools,http://checkerframework.org/
chrome-devtools-java-client,4.0.0,21,kklisura,https://github.com/kklisura/chrome-devtools-java-client
Chromium,99.0.4844.88,0,Google,https://www.chromium.org/Home
Chromium,104.0.5090.0,0,Google,https://www.chromium.org/Home
Chromium,102.0.4983.0,0,Google,https://www.chromium.org/Home
chrono,0.4.19,8,Chronotope,https://github.com/chronotope/chrono
cifs-utils,6.14,0,Samba,https://wiki.samba.org/index.php/LinuxCIFS_utils
